AirName,AircraftModel,Comments,DateFlown,EntertainmentRating,FoodRating,GroundServiceRating,OverallScore,Recommended,ReviewDate,ReviewTitle,ReviewrCountry,Route,SeatComfortRating,SeatType,ServiceRating,TravelType,ValueRating,WifiRating
British Airways,,,August 2024,0,0,1,1,,5th August 2024,"""missed my connecting flight""", (United States) ,Rome to Philadelphia via London,3,Economy Class,3,Solo Leisure,1,1
British Airways,,,August 2024,0,1,1,1,,3rd August 2024,“time to change leadership team”, (United States) ,London to Bologna,3,Economy Class,1,Business,1,0
British Airways,A380,,August 2024,2,3,1,1,,2nd August 2024,"""avoid it at all cost!"" ", (United States) ,Sydney to London,1,Business Class,3,Business,1,1
British Airways,A320,,August 2024,0,4,5,10,yes,2nd August 2024,“Great customer service from BA”, (United States) ,Dublin to London Heathrow,3,Business Class,5,Solo Leisure,4,0
British Airways,,,July 2024,0,0,1,1,,30th July 2024,"""Absolute worst travel experience""", (United States) ,London to Los Angeles via Paris CDG,1,Economy Class,1,Couple Leisure,1,0
British Airways,,,July 2024,3,3,1,3,,30th July 2024,"""one of the worst airlines""", (United States) ,London Heathrow to Doha,5,Business Class,1,Business,1,3
British Airways,,,July 2024,0,1,1,1,,28th July 2024,"""my travel pram confiscated from me""", (United States) ,Toulouse to London Heathrow,1,Economy Class,1,Family Leisure,1,0
British Airways,Boeing 777,,July 2024,1,1,1,1,,19th July 2024,“VERY uncomfortable seats”, (United States) ,San Diego to London,1,Economy Class,1,Couple Leisure,1,0
British Airways,A380-800,,July 2024,3,3,5,1,yes,16th July 2024,"""substandard business class experience""", (United States) ,Singapore to London,3,Business Class,2,Family Leisure,2,0
British Airways,,,June 2024,3,4,2,1,,15th July 2024,"""Customer Service is shocking""", (United States) ,Glasgow to Munich via Heathrow,3,Economy Class,4,Solo Leisure,3,3
British Airways,,,March 2024,3,3,1,1,,9th July 2024,"""left me extremely disappointed"" ", (Germany) ,Berlin to São Paulo via London,3,Economy Class,4,Business,2,3
British Airways,,,September 2023,0,0,1,1,,5th July 2024,“customer service was awful”, (Germany) ,London to Corfu ,1,Economy Class,1,Couple Leisure,1,0
British Airways,,,July 2024,0,0,0,1,,1st July 2024,"""over 2 weeks to respond"" ", (Germany) ,Toronto to London ,0,Economy Class,0,Solo Leisure,1,0
British Airways,,,June 2024,1,1,1,1,,30th June 2024,“wholly inadequate customer service”, (Germany) ,London Gatwick to Verona,1,Economy Class,1,Couple Leisure,1,1
British Airways,A320,,June 2024,0,3,1,6,yes,26th June 2024,“the cabin crew were great”, (Germany) ,London Heathrow to Paris CDG,4,Business Class,5,Business,3,0
British Airways,A350-1000,,June 2024,2,1,2,3,,23rd June 2024,"""cannot recommend BA""", (Germany) ,London Heathrow to Vancouver,2,Economy Class,2,Solo Leisure,1,0
British Airways,A350-1000,,June 2024,3,3,1,5,,23rd June 2024,“a very poor last impression of BA”, (Germany) ,Vancouver to London Heathrow,3,Business Class,3,Solo Leisure,2,3
British Airways,A320/A380,,April 2024,3,3,5,9,yes,18th June 2024,"""happy to recommend BA""", (Germany) ,Belfast to San Francisco via London,5,Business Class,5,Couple Leisure,4,0
British Airways,,,June 2024,0,1,3,2,,18th June 2024,"""cancelled our return flight"" ", (Germany) ,London Heathrow to Keflavik,2,Economy Class,3,Couple Leisure,2,0
British Airways,Boeing 777,,June 2024,3,4,1,8,yes,17th June 2024,"""Very good experience all round""", (Germany) ,New York JFK to London Heathrow,5,Business Class,5,Solo Leisure,2,0
British Airways,Boeing 777,,June 2024,3,4,4,7,yes,17th June 2024,"""inflight service was efficient and friendly""", (United Kingdom) ,London to newark,4,Premium Economy,4,Solo Leisure,3,0
British Airways,,,June 2024,0,2,1,1,,16th June 2024,“worst airline I’ve ever flown”, (United Kingdom) ,Florence to Heathrow,1,Economy Class,3,Couple Leisure,1,0
British Airways,A320,,June 2024,0,5,2,8,,15th June 2024,"""Cabin crew were great""", (United Kingdom) ,London to Manchester,1,Business Class,5,Couple Leisure,4,0
British Airways,A320,,May 2024,0,5,4,9,yes,10th June 2024,"""flight itself was quite good""", (United Kingdom) ,London to Amsterdam,5,Business Class,5,Solo Leisure,5,0
British Airways,,,May 2024,0,0,1,1,,9th June 2024,"""You expect better from BA""", (United Kingdom) ,Tokyo to Manchester via London,1,Premium Economy,0,Couple Leisure,2,0
British Airways,Boeing 747,,June 2024,0,0,1,1,,6th June 2024,"“never fly British Airways""", (United Kingdom) ,Heathrow to San Francisco,1,Business Class,1,Business,1,0
British Airways,,,May 2024,4,2,1,5,,3rd June 2024,“we will rethink BA moving forward”, (United Kingdom) ,Tampa to Gatwick,4,Business Class,3,Couple Leisure,2,0
British Airways,,,January 2024,1,1,1,1,,1st June 2024,“extremely poor customer service”, (United Kingdom) ,Los Angeles to London,1,Premium Economy,1,Family Leisure,1,1
British Airways,A320,,May 2024,0,1,5,9,yes,1st June 2024,“a pleasant and civilized journey”, (United Kingdom) ,Hannover to London Heathrow,5,Economy Class,4,Solo Leisure,3,0
British Airways,,,May 2024,5,3,3,2,,31st May 2024,"""the worst BA flight we've experienced""", (United Kingdom) ,Austin to London Heathrow,2,Economy Class,3,Family Leisure,3,4
British Airways,,,October 2023,1,1,1,1,,31st May 2024,"""Never again British Airways""", (Austria) ,Vienna to Johannesburg via London,1,Business Class,2,Business,3,2
British Airways,A380,,May 2024,0,0,1,1,,30th May 2024,"""only been offered half a glass of water""", (Austria) ,Johannesburg to Heathrow,1,Economy Class,1,Couple Leisure,1,0
British Airways,,,May 2024,1,1,1,2,,29th May 2024,"""told by cabin crew I would be refunded""", (Austria) ,London Heathrow to Singapore,2,Economy Class,1,Solo Leisure,1,1
British Airways,Boeing 787-9,,May 2024,1,2,2,3,,26th May 2024,“premium price for a sub-par product”, (Austria) ,London Heathrow to Hong Kong,2,Business Class,3,Couple Leisure,1,1
British Airways,,,May 2024,0,0,1,3,,20th May 2024,"""can't even choose my own seat""", (Austria) ,Boston to London,0,Economy Class,0,Solo Leisure,3,0
British Airways,,,May 2024,5,5,4,9,yes,18th May 2024,“Very impressed with BA”, (Austria) ,New York to Manchester via London,4,Economy Class,5,Couple Leisure,4,0
